CNPJ_Fundo,Data_Referencia,Versao,Mes_Referencia,Percentual_Rentabilidade_Efetiva_Mes,Percentual_Rentabilidade_Auferida_Ausencia_Garantia
13.500.306/0001-59,2018-03-31,1,03/2018,0.007145,
13.500.306/0001-59,2018-06-30,1,06/2018,0.007089,
13.652.006/0001-95,2018-03-31,1,out/16,0.0189,0.0042
13.652.006/0001-95,2018-06-30,1,out/16,0.0189,0.0042
13.873.457/0001-52,2018-03-31,1,03/2018,0.008711,0.005335
13.873.457/0001-52,2018-06-30,1,06/2018,-0.004392,
13.873.457/0001-52,2018-09-30,1,09/2018,0.008846,
13.873.457/0001-52,2018-12-31,1,12/2018,0.007701,
14.733.211/0001-48,2018-03-31,1,03/2018,0.005968,0.005968
14.733.211/0001-48,2018-06-30,1,06/2018,0.006702,0.006702
15.576.907/0001-70,2018-03-31,1,03/2018,0.007066,
16.802.320/0001-03,2018-09-28,1,09/2018,0.00518,
16.802.320/0001-03,2018-12-31,1,12/2018,0.010056,
17.098.794/0001-70,2018-03-29,1,12/2017,0.0090090054054054,0.004609620501177
17.098.794/0001-70,2018-03-29,1,11/2017,0.0091786870800749,0.0041151122953939
17.098.794/0001-70,2018-03-29,1,10/2017,0.0099300881792183,0.0032592679045088
17.098.794/0001-70,2018-06-29,1,06/2018,-0.0423,
17.098.794/0001-70,2018-06-29,1,05/2018,-0.061,
17.098.794/0001-70,2018-06-29,1,04/2018,-0.0001,
17.098.794/0001-70,2018-09-28,1,09/2018,0.008977,
17.098.794/0001-70,2018-09-28,1,08/2018,0.009345,
17.098.794/0001-70,2018-09-28,1,07/2018,0.008437,
17.098.794/0001-70,2018-12-31,1,12/2018,0.017525,
17.098.794/0001-70,2018-12-31,1,11/2018,0.0152814,
17.098.794/0001-70,2018-12-31,1,10/2018,0.0351,
17.161.979/0001-82,2018-03-31,1,03/2018,0.004572,0.004572
17.161.979/0001-82,2018-06-30,1,06/2018,0.004554,0.004554
17.161.979/0001-82,2018-09-30,1,09/2018,0.005487,0.005487
17.161.979/0001-82,2018-12-31,1,12/2018,0.086852,0.086852
17.311.079/0001-74,2018-03-31,1,out/2017,0.011908,0.000443
17.311.079/0001-74,2018-03-31,1,nov/2017,0.009792,0.000245
17.311.079/0001-74,2018-03-31,1,dez/2017,0.011064,0.000219
17.311.079/0001-74,2018-09-30,1,Julho/2018,0.011283,0.000443
17.311.079/0001-74,2018-09-30,1,Agosto/2018,0.005503,-0.005835
17.311.079/0001-74,2018-09-30,1,Setembro/2018,0.00986,8e-05
17.311.079/0001-74,2018-12-31,1,Outubro/2018,0.011929,0.000592
17.311.079/0001-74,2018-12-31,1,Novembro/2018,0.019857,0.00956
17.311.079/0001-74,2018-12-31,1,Dezembro/2018,-0.105162,-0.093939
17.590.518/0001-25,2018-03-31,2,jan/18,0.009179,0.003259
17.590.518/0001-25,2018-03-31,2,fev/18,0.009009,0.004115
17.590.518/0001-25,2018-03-31,2,mar/18,0.009023,0.00461
17.590.518/0001-25,2018-06-30,1,abr/18,0.008585,0.003375
17.590.518/0001-25,2018-06-30,1,mai/18,0.011111,0.004903
17.590.518/0001-25,2018-06-30,1,jun/18,0.012077,0.005054
17.590.518/0001-25,2018-09-30,2,jul/18,0.011824,0.004868
17.590.518/0001-25,2018-09-30,2,ago/18,0.01221,0.005346
17.590.518/0001-25,2018-09-30,2,set/18,0.012346,0.005368
