CNPJ_Fundo,Data_Referencia,Versao,Classe,Nome_Endereco_Imovel,Justificativa_Evolucao_Inferior_Previsto,Justificativa_Custo_Superior_Previsto
15.576.907/0001-70,2019-12-31,1,Imóveis para renda em construção,Estrada do Campo Limpo,-,-
17.311.079/0001-74,2019-03-31,1,Imóveis para renda em construção,Praça Capital - Bloco 02,não se aplica,não se aplica
17.311.079/0001-74,2019-06-30,1,Imóveis para renda em construção,Praça Capital - Bloco 02,não se aplica,não se aplica
17.311.079/0001-74,2019-09-30,1,Imóveis para renda em construção,Praça Capital - Bloco 02,não se aplica,não se aplica
17.311.079/0001-74,2019-12-31,1,Imóveis para renda em construção,Praça Capital - Bloco 02,não se aplica,não se aplica
17.590.518/0001-25,2019-03-31,2,Imóveis para venda em construção,0,0,0
17.590.518/0001-25,2019-03-31,2,Imóveis para renda em construção,0,0,0
17.590.518/0001-25,2019-06-30,1,Imóveis para renda em construção,0,0,0
17.590.518/0001-25,2019-06-30,1,Imóveis para venda em construção,0,0,0
18.369.510/0001-04,2019-03-29,1,Imóveis para renda em construção,IMÓVEL CONASA,,
18.369.510/0001-04,2019-06-28,1,Imóveis para renda em construção,IMÓVEL CONASA,,
18.369.510/0001-04,2019-09-30,1,Imóveis para renda em construção,IMÓVEL CONASA,,
18.369.510/0001-04,2019-12-31,1,Imóveis para renda em construção,IMÓVEL CONASA,,
20.265.467/0001-70,2019-03-31,1,Imóveis para renda em construção,Edificio Comercial Cassio Resende II,Custo conofrme programado,Custo conofrme programado
20.265.467/0001-70,2019-06-30,1,Imóveis para renda em construção,Edificio Comercial Cassio Resende II,Custo conofrme programado,Custo conofrme programado
20.265.467/0001-70,2019-09-30,1,Imóveis para renda em construção,Edificio Comercial Cassio Resende II,Custo conofrme programado,Custo conofrme programado
23.120.006/0001-06,2019-03-31,1,Imóveis para renda em construção,CD Contagem,Impacto devido às chuvas e questões com a construtora contratada.,não se aplica
23.120.006/0001-06,2019-06-30,1,Imóveis para renda em construção,CD Contagem,Impacto devido à questões com a construtora contratada.,não se aplica
23.120.006/0001-06,2019-09-30,1,Imóveis para renda em construção,CD Contagem,Impacto devido à questões com a construtora contratada.,não se aplica
