CNPJ_Fundo,Data_Referencia,Versao,Nome_Prestador,CNPJ_Prestador,Endereco,Telefone
14.217.108/0001-45,2017-12-01,2,Furtado Neto Advogados Associados,04.158.467/0001-45,"Rua Ministro Calogeras, 343 - 3º andares - Centro - Joinville - SC.",(47) 2105-3393
14.217.108/0001-45,2017-12-01,2,Perville Engenharia e Empreendimento Imobiliarios Ltda.,75.491.613/0005-00,"Rua Dona Francisca,8.300 - Bloco Z - Distrito Industrial - Joinville - SC.",(47) - 3803-2200
14.376.247/0001-11,2017-12-01,1,BANCO OURINVEST,78.632.767/0001-20,"AV PAULISTA, 1728 - SOBRELOJA E 2º ANDAR -  SAO PAULO - SP, CEP 01310-200",(55 11) 4081-4444
14.376.247/0001-11,2017-12-01,1,Banco Brascan,33.923.111/0002-00 ,"R Alvares Penteado, 218 S Paulo - SP 01012-000",(11) 3104-6258
14.376.247/0001-11,2017-12-01,1,Banco Citibank S.A.,33.479.023/0001-80,"AV PAULISTA, 1111 - 2º ANDAR - PARTE - SAO PAULO - SP, CEP 01311-920",(55 11) 4009-7171
14.788.458/0001-61,2017-12-01,1,KPMG,05.490.840/0004-46,"Edifício EZ Towers - Rua Arquiteto Olavo Redig de Campos, 105 - Torre A - Chácara Santo Antônio, São Paulo - SP",(11) 3940-1500
14.788.458/0001-61,2017-12-01,1,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTE,61.562.112/0002-01,"Francisco Matarazzo, 1400 - 15º - Água Branca, São Paulo - SP, 05001-903",(11) 3674-2500
14.788.458/0001-61,2017-12-01,1,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM,59.281.253/0001-23,"Cidade do Rio de Janeiro, Estado do Rio de Janeiro, na Praia de Botafogo, nº 501 - 5º andar parte",(11) 3383-2000
14.788.458/0001-61,2017-12-01,1,CETIP,09.358.105/0001-91,"Alameda Xingu, 350 - Alphaville Industrial, Barueri - SP, 06455-000",(11) 3105-2463
14.879.856/0001-93,2017-12-01,1,Br Malls Administração e Comercialização Sul Ltda,12..53.1.5/15/0-00,Av. Afrânio de Melo Franco 290 Sl 102 a 104 Leblon 22430060 Rio de Janeiro/RJ,(21) 3138-9901
15.348.117/0001-38,2017-12-01,1,MOISES FREIRE ADVOCACIA,5249760000150,"Rua Bambui, 242, Serra, CEP 30210-490, Belo Horizonte/MG",(31) 3287-1412
15.348.117/0001-38,2017-12-01,1,YPC YORK & PARTNERS CONSULTORIA LTDA,8587588000133,,(11) 3101-1257
15.348.117/0001-38,2017-12-01,1,ITAU CORRETORA DE VALORES S.A.,61194353000164,"Av. Brig. Faria Lima, 3500, 3º Andar, Jd Paulistano, São Paulo/SP",(11) 3003-4828
15.461.076/0001-91,2017-12-01,1,BSH BRASIL SERVICE & HOLDING LTDA,59.944.710/0001-12,"AV.BRIGADEIRO LIMA E SILVA,1768 1A SP",(11)3813-6188
15.461.076/0001-91,2017-12-01,1,COLLIES INTERNATIONAL DO BRASIL CONSULTORIA,02.636.857/0001-28,RUA DAS OLIMPÍADAS Nº 205 1º ANDAR,(11)3323-0001
15.799.397/0001-09,2017-12-01,1,CB RICHARD ELLIS LTDA,51.718.575/0002-66,R. Visc de Inhauma 83 14º andar Centro CEP: 20091-007,(21) 2543-4345
16.671.412/0001-93,2017-12-01,2,SDI Administração de Bens Ltda,9349506000185,"Rua Hungria, 514 - 10 andar CJ 101 SL 6 - São Paulo SP",(11) 4280-4300
17.098.794/0001-70,2017-12-01,1,Rio Bravo Investimentos LTDA.,3864607000108,"Av. Chedid Jafet, nº 222, Bloco B, 3º andar - Vila Olímpia - São Paulo/SP - Cep nº 04551-065",(11) 3509 6600
17.161.979/0001-82,2017-12-01,1,Godinho e Gontijo Advogados- ME,03.514.812/0001-43,"Rua Paraíba, 1352, Savassi- Belo Horizonte - MG",31-3281.9699
17.161.979/0001-82,2017-12-01,1,JJ Chaves Contadores Sociedade Simples Ltda,94154119000162,"Roa Dona Laura, 414 - Porto Alegre - RS",51-3388.3677
17.161.979/0001-82,2017-12-01,1,Itaú Corretora de Valores S/A,61194353000164,Av Brig Faria Lima 3400 10º and. São Paulo - SP,11-2740.2575
17.282.011/0001-04,2017-12-01,1,CIBRASEC - COMPANHIA BRASILEIRA DE SECURITIZAÇÃO,02.105.040/0001-23,"Av. Paulista, 1439 - Jardim Paulista, São Paulo - SP, 01311-200",(11) 4949-3000
17.365.105/0001-47,2017-12-01,1,TS CONSULTORIA IMOBILIARIA LTDA,10.262.910/0001-04,"Avenida das Nações Unidas, 12.901 - Brooklin Paulista, São Paulo - SP, 04578-910",(11) 3028-7400
20.680.775/0001-62,2017-12-01,1,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM,59.281.253/0001-23,"Cidade do Rio de Janeiro, Estado do Rio de Janeiro, na Praia de Botafogo, nº 501 - 5º andar parte",(11) 3383-2000
20.680.775/0001-62,2017-12-01,1,FREC PARTICIPACOES LTDA,05.424.121/0001-84,"Av. Presidente Juscelino Kubitschek, 1600 - 6º andar sala 1",-11
20.680.775/0001-62,2017-12-01,1,CB Richard Ellis S/C,01.764.437/0001-64,"Av das Nações Unidas, 14171 - Rochaverá - Crystal Tower -  18º andar - SP - CEP: 04794-00",
22.888.670/0001-29,2017-12-01,1,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM,59.281.253/0001-23,"Praia de Botafogo, nº 501 - 5º andar parte - Cidade do Rio de Janeiro, Estado do Rio de Janeiro",(11) 3383-2000
26.195.121/0001-20,2017-12-01,1,Souza Cescon Barrieu FB. Soc Advogados,10687865000121,"Rua Funchal, 418 - 11º na. S.Paulo - SP",11-3089.6500
26.195.121/0001-20,2017-12-01,1,JJ Chaves Contadores Sociedade Simples Ltda,94154119000162,"Roa Dona Laura, 414 - Porto Alegre - RS",51-3388.3677
26.195.121/0001-20,2017-12-01,1,Itaú Corretora de Valores S/A,61194353000164,Av Brig Faria Lima 3400 10º and. São Paulo - SP,11-2740.2575
26.195.121/0001-20,2017-12-01,1,Advocacia Cunha Ferraz,00.087.906/0001-95,"Av. Brig Faria Lima, 1461 - 6º andar São Paulo-SP",11-3104.7183
