CNPJ_Fundo,Data_Referencia,Versao,Numero_Processo,Valores,Causa_Contingencia
09.326.861/0001-39,2016-12-01,1,1064098-12.2016.8.26.0100,5123.33,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1064085-13.2016.8.26.0100,161160.03,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1058313-69.2016.8.26.0100,675390.51,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1039139-74.2016.8.26.0100,181960.07,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,0108181-19.2005.8.26.0100,30000,"Risco em condenação que determine ao réu o pagamento de valoures ou o cumprimento de obrigações de fazer, não fazer e outras  pleiteados na inicial, com a consequente condenação em custas e honorários advocatícios."
09.326.861/0001-39,2016-12-01,1,1039235-89.2016.8.26.0100,467805.4,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1021715-19.2016.8.26.0100,639628.2,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1039484-90.2015.8.26.0224,188836.05,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1013018-09.2016.8.26.0100,216280.42,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
09.326.861/0001-39,2016-12-01,1,1109861-70.2015.8.26.0100,14920.53,"Em princípio, sem contingência passiva, na medida em que Fundo/Condomínio do Shopping/Seus antecessores não estão no pólo passivo da demanda. Custas e Honorários Advocatícios podem ser considerados devidos em caso de julgamento à favor do réu/executado."
