,CNPJ_Gestor,Nome_Gestor,0
362,31681693000159,investcoop asset management ltda,3
363,31818879000107,urca gestão de recursos ltda.,3
364,31881090000109,bluemacaw gestora de recursos ltda,10
365,31881090000109,bluemacaw gestora de recursos ltda.,1
366,32706879000188,galapagos capital investimentos e participações ltda,1
367,32706879000188,galapagos capital invetimentos e participaçoes ltda,2
368,32706879000188,galápagos capital investimentos e participações ltda.,1
369,32764855000185,libertas asset,1
370,32959800,índigo investimentos dtvm ltda.,4
371,33455893000119,hbr gestao de fundos imobiliários ltda,2
372,33479023000108,banco citibank s.a.,1
373,33603600,coinvalores ccv ltda.,1
374,33603600,coinvalores ccvm ltda.,1
375,33850686000169,brb dtvm - distribuidora de títulos e valores mobiliários,6
376,33923111000129,brkb distribuidora de titulos e valores mobiliarios s.a.,22
377,33962328000148,r capital asset management investimentos s.a,3
378,33962328000148,r capital asset management investimentos s.a.,1
379,34076827000109,legend wm gestão de recursos ltda,1
380,34877615000112,kilima gestão de recursos ltda.,1
381,34877615000112,kilima gestão derecursos ltda.,2
382,35068183000161,blue asset gestao de recursos ltda,1
383,35487714000150,harmonia asset management s.a.,1
384,36030500,caixa economica federal,37
385,36030500,caixa econômica federal,4
386,36113876000191,oliveira trust dtvm s.a.,64
387,36113876000191,oliveira trust servicer s.a.,5
388,36906129000100,core real estate gestão de investimentos ltda.,2
389,37414193000137,guardian capital gestora de recursos e consultoria ltda,1
390,37414193000137,guardian gestora s.a.,1
391,37658373000164,navi real estate selection adm. e gest. de rec. finan. ltda,1
392,37783771000102,panorama capital ltda,2
393,37783771000102,panorama capital ltda.,1
394,37813257000172,brick capital ltda,1
395,39526263000174,patagonia capital gestora de recursos ltda,1
396,39526263000174,patagônida capital gestora de recursos ltda,2
397,40147051000165,rbr private equity gestao de recursos ltda,2
398,42040639000140,caixa distribuidora de titulos e valores mobiliários s/a,2
399,44077014000189,br-capital distribuidora de titulos e valores mobiliários as,2
400,44077014000189,br-capital distribuidora de titulos e valores mobiliários sa,29
401,44077014000189,br-capital dtvm s.a.,17
402,45246410000155,banco genial s.a,1
403,45246410000155,plural s.a. banco multiplo,2
404,45246410000155,plural s.a. banco múltiplo,2
405,50585090000106,bcv - banco de credito e varejo,4
406,59281253000123,btg pactual serviços financeiros s.a dtvm,1
407,60451242000123,btg pactual wm gestao,1
408,61384004000105,coin dtvm ltda,8
409,62180047000131,safra asset management ltda,1
410,62285390000140,singulare corretora de titulos e valores mobiliarios s.a,4
411,62285390000140,socopa - sociedade corretora paulista s.a.,4
412,62318407000119,santander caceis brasil dtvm s.a.,4
413,62318407000119,santander securities services brasil dtvm s.a.,2
414,62375134000144,bram - bradesco asset management s/a,2
415,62375134000144,bram bradesco asset management s/a dtvm,5
416,67030395000146,planner trustee dtvm ltda.,4
417,72027832000102,daycoval asset management,2
418,72600026000181,gestor: rio bravo investimentos dtvm ltda.,2
419,72600026000181,rio bravo investimentos dtvm ltda,66
420,72600026000181,rio bravo investimentos ltda,8
421,78632767000120,banco ourinvest s.a.,6
422,80653500,planner corretora de valores s.a.,2
423,80653500,planner corretora de valores sa,1
424,97543940000169,h11 gestão de recursos ltda,2
425,97543940000169,h11 gestão recursos ltda,4
426,97543940000169,zion gestao de recursos ltda,3
427,97543940000169,zion gestão recursos ltda,7
